"","state","mean","type"
"1","AK",0.447381512761507,"actual"
"2","AL",0.370886251666453,"actual"
"3","AR",0.357875667220169,"actual"
"4","AZ",0.501568316791293,"actual"
"5","CA",0.649089113606676,"actual"
"6","CO",0.569383194923001,"actual"
"7","CT",0.601950490880778,"actual"
"8","DC",0.944669538476194,"actual"
"9","DE",0.596267441649845,"actual"
"10","FL",0.483052453378584,"actual"
"11","GA",0.501193296629086,"actual"
"12","HI",0.650326646465149,"actual"
"13","IA",0.458167369153629,"actual"
"14","ID",0.341228570749221,"actual"
"15","IL",0.586590437328069,"actual"
"16","IN",0.418049354476503,"actual"
"17","KS",0.425065717443686,"actual"
"18","KY",0.36799897099737,"actual"
"19","LA",0.405355595437089,"actual"
"20","MA",0.671155495401481,"actual"
"21","MD",0.670290470470923,"actual"
"22","ME",0.54670404582004,"actual"
"23","MI",0.514135593444095,"actual"
"24","MN",0.536395136485667,"actual"
"25","MO",0.421641793555986,"actual"
"26","MS",0.41619165978167,"actual"
"27","MT",0.416028199079519,"actual"
"28","NC",0.493157993462142,"actual"
"29","ND",0.327825915771034,"actual"
"30","NE",0.402159477533983,"actual"
"31","NH",0.53748347721595,"actual"
"32","NJ",0.580712835867948,"actual"
"33","NM",0.555184901517197,"actual"
"34","NV",0.512231173400438,"actual"
"35","NY",0.617271768953392,"actual"
"36","OH",0.459233023522973,"actual"
"37","OK",0.330599605030935,"actual"
"38","OR",0.583071569854417,"actual"
"39","PA",0.505892052593491,"actual"
"40","RI",0.605993598839593,"actual"
"41","SC",0.440733912504179,"actual"
"42","SD",0.365652201383185,"actual"
"43","TN",0.381722296279336,"actual"
"44","TX",0.471692787632205,"actual"
"45","UT",0.393063948781484,"actual"
"46","VA",0.551546869993999,"actual"
"47","VT",0.682991865528066,"actual"
"48","WA",0.599255031847907,"actual"
"49","WI",0.50319063266534,"actual"
"50","WV",0.30201467686078,"actual"
"51","WY",0.275195656244149,"actual"
